role_name,permission,default_granted
Zonal Pastor (Tenant Admin),cells.reports.export,FALSE
Zonal Pastor (Tenant Admin),cells.reports.read,TRUE
Zonal Pastor (Tenant Admin),cells.reports.update,FALSE
Zonal Pastor (Tenant Admin),finance.batches.create,FALSE
Zonal Pastor (Tenant Admin),finance.batches.delete,FALSE
Zonal Pastor (Tenant Admin),finance.batches.lock,TRUE
Zonal Pastor (Tenant Admin),finance.batches.read,TRUE
Zonal Pastor (Tenant Admin),finance.batches.unlock,TRUE
Zonal Pastor (Tenant Admin),finance.batches.update,FALSE
Zonal Pastor (Tenant Admin),finance.entries.create,FALSE
Zonal Pastor (Tenant Admin),finance.entries.delete,FALSE
Zonal Pastor (Tenant Admin),finance.entries.export,FALSE
Zonal Pastor (Tenant Admin),finance.entries.read,TRUE
Zonal Pastor (Tenant Admin),finance.entries.update,FALSE
Zonal Pastor (Tenant Admin),finance.lookups.manage,TRUE
Zonal Pastor (Tenant Admin),finance.verify,TRUE
Zonal Pastor (Tenant Admin),registry.admin_notes.create,FALSE
Zonal Pastor (Tenant Admin),registry.admin_notes.delete,FALSE
Zonal Pastor (Tenant Admin),registry.admin_notes.read,FALSE
Zonal Pastor (Tenant Admin),registry.admin_notes.update,FALSE
Zonal Pastor (Tenant Admin),registry.attendance.create,FALSE
Zonal Pastor (Tenant Admin),registry.attendance.delete,FALSE
Zonal Pastor (Tenant Admin),registry.attendance.export,FALSE
Zonal Pastor (Tenant Admin),registry.attendance.read,TRUE
Zonal Pastor (Tenant Admin),registry.attendance.update,FALSE
Zonal Pastor (Tenant Admin),registry.cells.assign,FALSE
Zonal Pastor (Tenant Admin),registry.departments.create,FALSE
Zonal Pastor (Tenant Admin),registry.departments.delete,FALSE
Zonal Pastor (Tenant Admin),registry.departments.read,TRUE
Zonal Pastor (Tenant Admin),registry.departments.update,FALSE
Zonal Pastor (Tenant Admin),registry.firsttimers.create,FALSE
Zonal Pastor (Tenant Admin),registry.firsttimers.delete,FALSE
Zonal Pastor (Tenant Admin),registry.firsttimers.export,FALSE
Zonal Pastor (Tenant Admin),registry.firsttimers.read,TRUE
Zonal Pastor (Tenant Admin),registry.firsttimers.update,FALSE
Zonal Pastor (Tenant Admin),registry.people.create,FALSE
Zonal Pastor (Tenant Admin),registry.people.delete,FALSE
Zonal Pastor (Tenant Admin),registry.people.export,FALSE
Zonal Pastor (Tenant Admin),registry.people.merge,FALSE
Zonal Pastor (Tenant Admin),registry.people.read,TRUE
Zonal Pastor (Tenant Admin),registry.people.update,FALSE
Zonal Pastor (Tenant Admin),reports.export,TRUE
Zonal Pastor (Tenant Admin),reports.schedule,TRUE
Zonal Pastor (Tenant Admin),reports.view,TRUE
Zonal Pastor (Tenant Admin),system.audit.view,TRUE
Zonal Pastor (Tenant Admin),system.exports.full_pii,TRUE
Zonal Pastor (Tenant Admin),system.roles.assign,TRUE
Zonal Pastor (Tenant Admin),system.scopes.assign,TRUE
Zonal Pastor (Tenant Admin),system.settings.manage,TRUE
Zonal Pastor (Tenant Admin),system.users.create,TRUE
